iter	Passed	Remaining
1298	29618	4582
1299	29638	4559
1300	29662	4537
1301	29685	4514
1302	29711	4492
1303	29737	4469
1304	29761	4447
1305	29783	4424
1306	29805	4401
1307	29828	4378
1308	29849	4355
1309	29871	4332
1310	29895	4309
1311	29920	4287
1312	29944	4264
1313	29967	4241
1314	29993	4219
1315	30015	4196
1316	30042	4174
1317	30063	4151
1318	30085	4128
1319	30106	4105
1320	30128	4082
1321	30150	4059
1322	30173	4036
1323	30196	4014
1324	30222	3991
1325	30246	3969
1326	30266	3945
1327	30290	3923
1328	30312	3900
1329	30335	3877
1330	30359	3854
1331	30380	3831
1332	30402	3808
1333	30425	3786
1334	30447	3763
1335	30477	3741
1336	30498	3718
1337	30520	3695
1338	30542	3672
1339	30563	3649
1340	30587	3626
1341	30611	3604
1342	30634	3581
1343	30655	3558
1344	30679	3535
1345	30701	3512
1346	30724	3489
1347	30750	3467
1348	30771	3444
1349	30798	3422
1350	30821	3399
1351	30842	3376
1352	30866	3353
1353	30888	3330
1354	30909	3307
1355	30931	3284
1356	30957	3262
1357	30979	3239
1358	31002	3216
1359	31029	3194
1360	31048	3171
1361	31071	3148
1362	31095	3125
1363	31116	3102
1364	31143	3080
1365	31167	3057
1366	31192	3034
1367	31215	3012
1368	31241	2989
1369	31264	2966
1370	31288	2943
1371	31316	2921
1372	31343	2899
1373	31368	2876
1374	31391	2853
1375	31413	2830
1376	31435	2807
1377	31459	2785
1378	31480	2762
1379	31505	2739
1380	31529	2716
1381	31552	2694
1382	31570	2670
1383	31594	2648
1384	31619	2625
1385	31640	2602
1386	31664	2579
1387	31688	2557
1388	31709	2534
1389	31733	2511
1390	31759	2488
1391	31779	2465
1392	31800	2442
1393	31823	2419
1394	31844	2396
1395	31868	2374
1396	31893	2351
1397	31911	2328
1398	31933	2305
1399	31954	2282
1400	31974	2259
1401	32000	2236
1402	32023	2214
1403	32046	2191
1404	32071	2168
1405	32095	2145
1406	32120	2123
1407	32143	2100
1408	32167	2077
1409	32190	2054
1410	32213	2031
1411	32235	2008
1412	32265	1986
1413	32286	1963
1414	32315	1941
1415	32340	1918
1416	32363	1895
1417	32384	1872
1418	32412	1850
1419	32434	1827
1420	32459	1804
1421	32483	1781
1422	32507	1759
1423	32531	1736
1424	32550	1713
1425	32572	1690
1426	32595	1667
1427	32619	1644
1428	32638	1621
1429	32664	1598
1430	32686	1576
1431	32708	1553
1432	32733	1530
1433	32757	1507
1434	32779	1484
1435	32801	1461
1436	32824	1439
1437	32846	1416
1438	32868	1393
1439	32892	1370
1440	32917	1347
1441	32936	1324
1442	32955	1301
1443	32978	1278
1444	33001	1256
1445	33023	1233
1446	33049	1210
1447	33072	1187
1448	33096	1164
1449	33120	1142
1450	33145	1119
1451	33165	1096
1452	33186	1073
1453	33208	1050
1454	33230	1027
1455	33253	1004
1456	33273	982
1457	33297	959
1458	33320	936
1459	33344	913
1460	33368	890
1461	33393	867
1462	33416	845
1463	33441	822
1464	33466	799
1465	33490	776
1466	33511	753
1467	33533	730
1468	33556	708
1469	33577	685
1470	33600	662
1471	33623	639
1472	33645	616
1473	33666	593
1474	33688	570
1475	33712	548
1476	33736	525
1477	33755	502
1478	33778	479
1479	33802	456
1480	33825	433
1481	33855	411
1482	33882	388
1483	33904	365
1484	33924	342
1485	33948	319
1486	33970	296
1487	33994	274
1488	34016	251
1489	34037	228
1490	34061	205
1491	34089	182
1492	34113	159
1493	34134	137
1494	34160	114
1495	34182	91
1496	34203	68
1497	34224	45
1498	34249	22
1499	34272	0
